Station_Name,Longitude,Latitude,Street_Address
Los Angeles Convention Center,-118.271387,34.040539,1201 S Figueroa St
California Air Resources Board,-118.064,34.06872,9530 Telstar Ave
Scripps Green Hospital,-117.243,32.89947,10666 N Torrey Pines Rd
San Diego Wild Animal Park,-117.004433,33.098589,15500 San Pasqual Valley Rd
Galpin Motors,-118.468371,34.221665,15421 Roscoe Blvd
Galleria at Tyler,-117.459053,33.909914,1299 Galleria at Tyler
City of Pasadena - Holly Street Garage,-118.147111,34.14762,150 E Holly St
City of Pasadena - Holly Street Garage,-118.147111,34.14762,150 E Holly St
City of Pasadena - De Lacey Garage,-118.152655,34.145138,45 De Lacey Ave
City of Pasadena - Schoolhouse Garage,-118.150133,34.145119,33 E Green St
Pasadena Hilton,-118.140553,34.142973,150 S Los Robles
Hyatt Regency Long Beach,-118.192,33.7637,200 S Pine Ave
Los Angeles International Airport (LAX) - Lot 6,-118.403342,33.94325,1 World Way
Northridge Fashion Center - Yard House,-118.556708,34.241116,9301 Tampa Ave
Ontario Airport Hilton,-117.575,34.07122,700 N Haven Ave
Courtyard Marriott - Oxnard Ventura,-119.170865,34.228315,600 E Esplanade Dr
Hilton - Palm Springs,-116.543589,33.824004,400 E Tahquitz Canyon Way
East Bay Mini,-121.876172,37.700187,4340 Rosewood Dr
Inland Empire Foods,-117.38,34.0189,5425 Wilson St
Sacramento International Airport - Daily A Lot,-121.58889,38.69005,Lindbergh Dr
City of Santa Monica - Airport,-118.44704,34.017081,3223 Donald Douglas Loop
City of Santa Monica - Pier,-118.49583,34.010021,200 Santa Monica Pier
Westfield Fashion Square,-118.434454,34.156839,14006 Riverside Dr
City of Temecula - 6th Street Lot,-117.152,33.49605,28462 Front St
Van Nuys Amtrak/Metrolink Station,-118.448704,34.21108,7724 Van Nuys Blvd
Office Max - Home Depot,-118.153806,33.94756,7075 Firestone Blvd
City of Lancaster - City Hall,-118.145218,34.698914,44933 Fern Ave
Hyatt at Fisherman's Wharf,-122.4152,37.80619,555 N Point St
Arden Fair Mall,-121.427045,38.599693,1689 Arden Way
Palace Hotel,-122.401,37.78881,2 New Montgomery St
Mark Hopkins InterContinental Hotel,-122.411265,37.791791,999 California St
Hotel Sofitel,-118.377527,34.076264,8555 Beverly Blvd
Music Center Parking - Level 2,-118.24789,34.057657,135 N Grand Ave
Music Center Parking - Level 3,-118.24789,34.057657,135 N Grand Ave
